	Cs-137	Cs-137-Al
212.996902278	1845	1976
213.855747128	1921	1958
214.715142102	1823	1946
215.5750872	1909	2001
216.435582422	1839	1979
217.296627768	1921	1949
218.158223238	1811	1928
219.020368832	1802	1917
219.88306455	1873	1890
220.746310392	1840	1948
221.610106358	1903	1903
222.474452448	1779	1878
223.339348662	1790	1930
224.204795	1762	1863
225.070791462	1740	1886
225.937338048	1808	1941
226.804434758	1720	1847
227.672081592	1753	1838
228.54027855	1770	1849
229.409025632	1823	1872
230.278322838	1757	1899
231.148170168	1762	1818
232.018567622	1708	1812
232.8895152	1791	1791
233.761012902	1775	1812
234.633060728	1692	1807
235.505658678	1746	1779
236.378806752	1696	1767
237.25250495	1751	1779
238.126753272	1749	1800
239.001551718	1687	1845
239.876900288	1613	1729
240.752798982	1625	1709
241.6292478	1655	1761
242.506246742	1619	1746
243.383795808	1680	1749
244.261894998	1671	1784
245.140544312	1583	1729
246.01974375	1656	1648
246.899493312	1649	1701
247.779792998	1664	1720
248.660642808	1594	1722
249.542042742	1552	1730
250.4239928	1580	1663
251.306492982	1522	1652
252.189543288	1537	1629
253.073143718	1516	1675
253.957294272	1581	1633
254.84199495	1574	1642
255.727245752	1571	1571
256.613046678	1516	1677
257.499397728	1474	1612
258.386298902	1537	1592
259.2737502	1476	1511
260.161751622	1505	1570
261.050303168	1425	1612
261.939404838	1471	1627
262.829056632	1497	1509
263.71925855	1472	1575
264.610010592	1465	1550
265.501312758	1487	1512
266.393165048	1421	1500
267.285567462	1418	1524
268.17852	1326	1506
269.072022662	1383	1474
269.966075448	1370	1480
270.860678358	1459	1457
271.755831392	1415	1458
272.65153455	1406	1425
273.547787832	1420	1443
274.444591238	1377	1421
275.341944768	1392	1452
276.239848422	1383	1357
277.1383022	1304	1393
278.037306102	1343	1452
278.936860128	1317	1432
279.836964278	1415	1364
280.737618552	1307	1420
281.63882295	1311	1306
282.540577472	1309	1389
283.442882118	1328	1346
284.345736888	1358	1348
285.249141782	1302	1371
286.1530968	1355	1325
287.057601942	1340	1395
287.962657208	1338	1244
288.868262598	1221	1255
289.774418112	1247	1389
290.68112375	1316	1332
291.588379512	1279	1302
292.496185398	1271	1308
293.404541408	1294	1292
294.313447542	1238	1231
295.2229038	1251	1310
296.132910182	1253	1296
297.043466688	1238	1332
297.954573318	1245	1277
298.866230072	1249	1328
299.77843695	1266	1335
300.691193952	1259	1234
301.604501078	1181	1282
302.518358328	1206	1197
303.432765702	1215	1199
304.3477232	1221	1170
305.263230822	1184	1265
306.179288568	1229	1224
307.095896438	1237	1210
308.013054432	1186	1191
308.93076255	1126	1167
309.849020792	1205	1194
310.767829158	1147	1240
311.687187648	1209	1186
312.607096262	1203	1247
313.527555	1188	1225
314.448563862	1240	1231
315.370122848	1191	1254
316.292231958	1137	1226
317.214891192	1200	1198
318.13810055	1195	1286
319.061860032	1188	1216
319.986169638	1172	1220
320.911029368	1170	1164
321.836439222	1184	1219
322.7623992	1156	1189
323.688909302	1189	1148
324.615969528	1187	1196
325.543579878	1198	1130
326.471740352	1159	1154
327.40045095	1135	1173
328.329711672	1147	1209
329.259522518	1105	1231
330.189883488	1149	1143
331.120794582	1181	1195
332.0522558	1135	1139
332.984267142	1142	1199
333.916828608	1079	1201
334.849940198	1173	1173
335.783601912	1119	1194
336.71781375	1189	1123
337.652575712	1175	1143
338.587887798	1175	1154
339.523750008	1114	1207
340.460162342	1219	1182
341.3971248	1191	1113
342.334637382	1165	1200
343.272700088	1212	1171
344.211312918	1142	1147
345.150475872	1138	1195
346.09018895	1121	1112
347.030452152	1119	1137
347.971265478	1088	1180
348.912628928	1098	1093
349.854542502	1099	1145
350.7970062	1173	1184
351.740020022	1118	1141
352.683583968	1148	1176
353.627698038	1165	1201
354.572362232	1164	1188
355.51757655	1074	1140
356.463340992	1116	1100
357.409655558	1146	1142
358.356520248	1161	1203
359.303935062	1152	1137
360.2519	1107	1149
361.200415062	1132	1108
362.149480248	1109	1061
363.099095558	1109	1151
364.049260992	1125	1125
364.99997655	1141	1066
365.951242232	1089	1159
366.903058038	1105	1169
367.855423968	1125	1147
368.808340022	1149	1168
369.7618062	1094	1166
370.715822502	1136	1166
371.670388928	1055	1158
372.625505478	1082	1118
373.581172152	1076	1096
374.53738895	1119	1127
375.494155872	1127	1105
376.451472918	1080	1128
377.409340088	1090	1113
378.367757382	1156	1112
379.3267248	1108	1142
380.286242342	1071	1129
381.246310008	1104	1164
382.206927798	1121	1184
383.168095712	1126	1140
384.12981375	1093	1069
385.092081912	1158	1168
386.054900198	1104	1062
387.018268608	1099	1153
387.982187142	1132	1129
388.9466558	1135	1110
389.911674582	1081	1158
390.877243488	1084	1135
391.843362518	1065	1144
392.810031672	1106	1164
393.77725095	1136	1166
394.745020352	1107	1155
395.713339878	1140	1165
396.682209528	1082	1166
397.651629302	1076	1109
398.6215992	1117	1160
399.592119222	1134	1117
400.563189368	1102	1173
401.534809638	1090	1147
402.506980032	1105	1121
403.47970055	1108	1108
404.452971192	1104	1199
405.426791958	1032	1108
406.401162848	1061	1114
407.376083862	1106	1109
408.351555	1078	1191
409.327576262	1110	1089
410.304147648	1099	1148
411.281269158	1121	1163
412.258940792	1085	1171
413.23716255	1110	1194
414.215934432	1099	1198
415.195256438	1074	1153
416.175128568	1109	1153
417.155550822	1088	1110
418.1365232	1100	1159
419.118045702	1143	1161
420.100118328	1149	1129
421.082741078	1093	1098
422.065913952	1069	1140
423.04963695	1123	1116
424.033910072	1067	1113
425.018733318	1156	1100
426.004106688	1056	1072
426.990030182	1087	1177
427.9765038	1109	1172
428.963527542	1126	1098
429.951101408	1116	1072
430.939225398	1044	1055
431.927899512	1146	1094
432.91712375	1048	1070
433.906898112	1048	1143
434.897222598	1008	1046
435.888097208	1096	1105
436.879521942	1084	1103
437.8714968	1037	1151
438.864021782	1036	1049
439.857096888	1047	1065
440.850722118	1073	1091
441.844897472	1046	1091
442.83962295	1077	1050
443.834898552	1080	1020
444.830724278	1001	1060
445.827100128	1048	1054
446.824026102	1032	1058
447.8215022	1033	1054
448.819528422	986	1022
449.818104768	1003	1033
450.817231238	969	1013
451.816907832	981	921
452.81713455	966	1003
453.817911392	1013	1014
454.819238358	985	910
455.821115448	959	983
456.823542662	960	957
457.82652	896	988
458.830047462	890	936
459.834125048	900	938
460.838752758	935	948
461.843930592	927	954
462.84965855	865	1002
463.855936632	852	847
464.862764838	866	885
465.870143168	879	909
466.878071622	841	903
467.8865502	810	849
468.895578902	862	868
469.905157728	770	826
470.915286678	845	825
471.925965752	834	801
472.93719495	801	803
473.948974272	759	764
474.961303718	769	806
475.974183288	741	804
476.987612982	799	794
478.0015928	741	730
479.016122742	765	759
480.031202808	791	735
481.046832998	700	721
482.063013312	735	753
483.07974375	717	709
484.097024312	706	715
485.114854998	726	709
486.133235808	716	655
487.152166742	665	685
488.1716478	661	680
489.191678982	649	654
490.212260288	669	652
491.233391718	622	648
492.255073272	637	643
493.27730495	598	612
494.300086752	613	575
495.323418678	612	622
496.347300728	629	655
497.371732902	624	624
498.3967152	546	595
499.422247622	626	524
500.448330168	583	620
501.474962838	560	591
502.502145632	561	608
503.52987855	566	577
504.558161592	601	579
505.586994758	573	529
506.616378048	552	572
507.646311462	562	539
508.676795	530	558
509.707828662	530	520
510.739412448	539	515
511.771546358	527	537
512.804230392	511	536
513.83746455	487	464
514.871248832	535	512
515.905583238	507	515
516.940467768	503	490
517.975902422	512	484
519.0118872	501	502
520.048422102	489	511
521.085507128	469	481
522.123142278	481	488
523.161327552	510	472
524.20006295	469	448
525.239348472	470	451
526.279184118	494	485
527.319569888	447	490
528.360505782	447	473
529.4019918	461	435
530.444027942	442	409
531.486614208	448	471
532.529750598	454	415
533.573437112	461	438
534.61767375	438	423
535.662460512	450	438
536.707797398	423	425
537.753684408	424	432
538.800121542	425	453
539.8471088	463	410
540.894646182	480	443
541.942733688	432	451
542.991371318	413	436
544.040559072	440	429
545.09029695	414	430
546.140584952	422	395
547.191423078	415	429
548.242811328	430	426
549.294749702	454	459
550.3472382	403	419
551.400276822	426	424
552.453865568	406	419
553.508004438	415	433
554.562693432	420	400
555.61793255	442	406
556.673721792	410	441
557.730061158	431	406
558.786950648	462	436
559.844390262	430	459
560.90238	419	431
561.960919862	461	432
563.020009848	445	469
564.079649958	438	456
565.139840192	466	489
566.20058055	485	467
567.261871032	505	495
568.323711638	509	520
569.386102368	511	501
570.449043222	529	544
571.5125342	526	535
572.576575302	506	499
573.641166528	519	529
574.706307878	550	537
575.771999352	590	547
576.83824095	592	571
577.905032672	552	602
578.972374518	662	641
580.040266488	644	640
581.108708582	665	621
582.1777008	684	678
583.247243142	715	691
584.317335608	694	758
585.387978198	715	749
586.459170912	756	800
587.53091375	796	841
